Missing file rows: 0
Skipped no match: 1540
Already applied: 10705
Applied: 810
NO_MATCH SRC_00020 src/alky.c:363:75 "Reproduce"
NO_MATCH SRC_00040 src/alky.c:533:53 "an infusion"
NO_MATCH SRC_00041 src/alky.c:533:69 "infusions"
NO_MATCH SRC_00079 src/alky.c:770:157 "Some of the"
NO_MATCH SRC_00083 src/alky.c:779:114 "it"
NO_MATCH SRC_00084 src/alky.c:779:121 "them"
NO_MATCH SRC_00668 src/birth.c:18:1 "Sorcery is a \\meta` realm, including enchantment and general spells. It provides superb protection spells, spells to enhance your odds in combat and, most importantly, a vast selection of spells for gathering information. However, Sorcery has one weakness: it has no spells to deal direct damage to your enemies.`"
NO_MATCH SRC_00679 src/birth.c:31:1 "Experts in Law know many ways to confuse and hinder their enemies, to set and detect traps, to escape difficult situations and to win others to their side. However, they are somewhat lacking in direct offensive power."
NO_MATCH SRC_00682 src/birth.c:34:1 "Hex is a very terrible realm. Spells gives continual effects when they are spelled continually like songs. Spells may obstract monsters' actions, may deal damages in sight, may revenge against enemies."
NO_MATCH SRC_00684 src/birth.c:38:1 "Burglary is the preferred realm of rogues, allowing them to specialize in what they do best: Stealing! This realm offers good detection and escapes, offers talents for picking pockets and setting traps, and even allows for direct assassination of sleeping monsters. The books for this realm are only available in the Black Market (or in the dungeon)."
NO_MATCH SRC_00917 src/bldg.c:3819:64 "this photograph"
NO_MATCH SRC_00918 src/bldg.c:3819:84 "these photographs"
NO_MATCH SRC_00995 src/blood_knight.c:284:23 "You have too many blood potions at the moment. Why not drink some?"
NO_MATCH SRC_00996 src/blood_knight.c:289:19 "You feel light headed."
NO_MATCH SRC_00997 src/blood_knight.c:294:19 "You store your blood for future use."
NO_MATCH SRC_00998 src/blood_knight.c:309:29 "Blood Explosion"
NO_MATCH SRC_00999 src/blood_knight.c:312:29 "Damages all living creatures in sight at tremendous cost to your own health."
NO_MATCH SRC_01000 src/blood_knight.c:315:29 "All living creatures in player's line of sight take 500 damage."
NO_MATCH SRC_01001 src/blood_knight.c:322:19 "You cut too deep ... Your blood explodes!"
NO_MATCH SRC_01002 src/blood_knight.c:338:29 "Cauterize Wounds"
NO_MATCH SRC_01003 src/blood_knight.c:341:29 "Cures cuts"
NO_MATCH SRC_01005 src/blood_knight.c:514:19 "Blood-Knight"
