id	file	line	kind	field	source	zh_cn	context
EDIT_00001	lib/edit/a_info.txt	53	artifact_name	N:name	of Galadriel		N:1:of Galadriel
EDIT_00002	lib/edit/a_info.txt	59	activation_message	E	The phial wells with clear light...		E:The phial wells with clear light...
EDIT_00003	lib/edit/a_info.txt	60	description	D	A small crystal phial, with the light of Earendil's Star contained inside.		D:A small crystal phial, with the light of Earendil's Star contained inside.
EDIT_00004	lib/edit/a_info.txt	61	description	D	Its light is imperishable, and near it darkness cannot endure.		D:Its light is imperishable, and near it darkness cannot endure.
EDIT_00005	lib/edit/a_info.txt	63	artifact_name	N:name	of Elendil		N:2:of Elendil
EDIT_00006	lib/edit/a_info.txt	69	activation_message	E	The star shines brightly...		E:The star shines brightly...
EDIT_00007	lib/edit/a_info.txt	70	description	D	The shining Star of the West, a famed heirloom of Elendil's house.		D:The shining Star of the West, a famed heirloom of Elendil's house.
EDIT_00008	lib/edit/a_info.txt	72	artifact_name	N:name	of Judgement		N:3:of Judgement
EDIT_00009	lib/edit/a_info.txt	79	activation_message	E	The Jewel flashes bright red!		E:The Jewel flashes bright red!
EDIT_00010	lib/edit/a_info.txt	81	artifact_name	N:name	of Carlammas		N:4:of Carlammas
EDIT_00011	lib/edit/a_info.txt	86	activation_message	E	The amulet lets out a shrill wail...		E:The amulet lets out a shrill wail...
EDIT_00012	lib/edit/a_info.txt	87	description	D	A fiery circle of bronze, with mighty spells to ward off evil.		D:A fiery circle of bronze, with mighty spells to ward off evil.
EDIT_00013	lib/edit/a_info.txt	89	artifact_name	N:name	of Ingwe		N:5:of Ingwe
EDIT_00014	lib/edit/a_info.txt	96	activation_message	E	The amulet floods the area with goodness...		E:The amulet floods the area with goodness...
EDIT_00015	lib/edit/a_info.txt	97	description	D	The ancient heirloom of Ingwe, high lord of the Vanyar, against whom nothing		D:The ancient heirloom of Ingwe, high lord of the Vanyar, against whom nothing
EDIT_00016	lib/edit/a_info.txt	98	description	D	of evil could stand.		D:of evil could stand.
EDIT_00017	lib/edit/a_info.txt	100	artifact_name	N:name	Necklace of the Dwarves		N:6:Necklace of the Dwarves
EDIT_00018	lib/edit/a_info.txt	105	description	D	The Nauglamir; a carencet of gold set with a multitude of shining gems of		D:The Nauglamir; a carencet of gold set with a multitude of shining gems of
EDIT_00019	lib/edit/a_info.txt	106	description	D	Valinor, accenting a radiant Silmaril. The sturdy spirits of Dwarvish		D:Valinor, accenting a radiant Silmaril. The sturdy spirits of Dwarvish
EDIT_00020	lib/edit/a_info.txt	107	description	D	craftsmen who labored long in mountain smithies lie within it still, and		D:craftsmen who labored long in mountain smithies lie within it still, and
EDIT_00021	lib/edit/a_info.txt	108	description	D	as gossamer it rests upon the bearer.		D:as gossamer it rests upon the bearer.
EDIT_00022	lib/edit/a_info.txt	110	artifact_name	N:name	of Edison		N:7:of Edison
